"iso3","year","median","varnum"
"KAZ",1995,55.81284,"01"
"KAZ",2000,57.10602,"01"
"KAZ",2005,58.09744,"01"
"KAZ",2010,58.88308,"01"
"KAZ",2015,59.49452,"01"
"KAZ",2018,59.10807,"01"
"KEN",1990,97.91256,"01"
"KEN",1995,102.08632,"01"
"KEN",2000,105.90314,"01"
"KEN",2005,109.91157,"01"
"KEN",2010,112.85417,"01"
"KEN",2015,104.01065,"01"
"KEN",2018,104.99543,"01"
"KGZ",1990,72.29779,"01"
"KGZ",1995,70.4836,"01"
"KGZ",2000,73.90281,"01"
"KGZ",2005,75.70802,"01"
"KGZ",2010,75.04885,"01"
"KGZ",2015,74.59879,"01"
"KGZ",2018,74.85925,"01"
"KHM",1990,47.37449,"01"
"KHM",1995,48.26032,"01"
"KHM",2000,49.62353,"01"
"KHM",2005,51.0385,"01"
"KHM",2010,52.15693,"01"
"KHM",2015,49.15149,"01"
"KHM",2018,48.95077,"01"
"KIR",1990,69.9248,"01"
"KIR",1995,71.83674,"01"
"KIR",2000,86.90909,"01"
"KIR",2005,83.00609,"01"
"KIR",2010,87.426,"01"
"KIR",2015,95.72643,"01"
"KIR",2018,97.97045,"01"
"KOR",1990,60.9367,"01"
"KOR",1995,135.88114,"01"
"KOR",2000,137.65563,"01"
"KOR",2005,167.18279,"01"
"KOR",2010,134.61246,"01"
"KOR",2015,96.80826,"01"
"KOR",2018,96.41854,"01"
"KWT",1990,52.75057,"01"
"KWT",1995,54.95166,"01"
"KWT",2000,55.0383,"01"
"KWT",2005,55.0337,"01"
"KWT",2010,56.11595,"01"
"KWT",2015,57.12049,"01"
"KWT",2018,56.93516,"01"
"LAO",1990,110.09537,"01"
"LAO",1995,111.8712,"01"
"LAO",2000,116.08298,"01"
"LAO",2005,121.79681,"01"
"LAO",2010,124.12537,"01"
"LAO",2015,118.93578,"01"
"LAO",2018,119.11011,"01"
"LBN",1990,478.15399,"01"
"LBN",1995,464.44479,"01"
"LBN",2000,374.43592,"01"
"LBN",2005,307.537,"01"
"LBN",2010,181.87077,"01"
"LBN",2015,248.5867,"01"
"LBN",2018,227.28642,"01"
"LBR",1990,55.80189,"01"
"LBR",1995,68.91104,"01"
"LBR",2000,63.12712,"01"
"LBR",2005,59.44426,"01"
"LBR",2010,56.07771,"01"
"LBR",2015,51.25452,"01"
"LBR",2018,49.57878,"01"
"LBY",1990,48.39121,"01"
"LBY",1995,50.54636,"01"
"LBY",2000,52.69912,"01"
"LBY",2005,53.80736,"01"
"LBY",2010,54.59963,"01"
"LBY",2015,52.64005,"01"
"LBY",2018,52.71599,"01"
"LCA",1990,139.76109,"01"
"LCA",1995,151.39583,"01"
"LCA",2000,141.66793,"01"
"LCA",2005,102.88162,"01"
"LCA",2010,90.4939,"01"
"LCA",2015,70.52313,"01"
"LCA",2018,76.60062,"01"
"LKA",1990,72.8658,"01"
"LKA",1995,77.23373,"01"
"LKA",2000,80.09096,"01"
"LKA",2005,76.31003,"01"
"LKA",2010,72.89193,"01"
"LKA",2015,72.74579,"01"
"LKA",2018,79.24246,"01"
"LSO",1990,63.1798,"01"
"LSO",1995,66.73333,"01"
"LSO",2000,70.25582,"01"
"LSO",2005,74.97262,"01"
"LSO",2010,69.10542,"01"
